iter	Passed	Remaining
0	0	86
1	1	80
2	2	78
3	3	72
4	3	71
5	4	70
6	5	67
7	5	65
8	6	63
9	6	61
10	7	60
11	8	59
12	8	58
13	9	57
14	10	57
15	10	57
16	11	56
17	12	55
18	12	54
19	13	53
20	13	52
21	14	51
22	15	50
23	15	49
24	16	49
25	16	48
26	17	47
27	18	47
28	19	47
29	19	46
30	20	46
31	21	45
32	22	45
33	22	44
34	23	43
35	24	43
36	25	42
37	25	41
38	26	41
39	27	40
40	27	39
41	28	38
42	28	38
43	29	37
44	29	36
45	30	35
46	31	35
47	31	34
48	32	33
49	33	33
50	34	32
51	34	32
52	35	31
53	35	30
54	36	29
55	36	29
56	37	28
57	38	27
58	38	26
59	39	26
60	40	25
61	40	25
62	41	24
63	42	23
64	42	23
65	43	22
66	44	21
67	44	21
68	45	20
69	45	19
70	46	19
71	47	18
72	47	17
73	48	17
74	49	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	52	12
81	53	11
82	54	11
83	54	10
84	55	9
85	55	9
86	56	8
87	57	7
88	57	7
89	58	6
90	58	5
91	59	5
92	60	4
93	60	3
94	61	3
95	62	2
96	62	1
97	63	1
98	63	0
99	64	0
